flight_id,airline,source,destination,departure_time,arrival_time,duration,source_table,error_code,error_reason,payment_id,booking_id,amount,payment_method,passenger_id,first_name,last_name,age,gender,email,phone,aadhaar_id,date_of_birth,_quality_score,is_overnight,computed_duration_min,booking_date,status,passport_number,seat_number,emergency_contact_name,emergency_contact_phone
SJ192,SpiceJet,HYD,BOM,2026-04-19 18:45:42.000,2026-04-18 23:45:42.000,1899-12-29 05:00:00,flights,DQ004," arrival_time not after departure_time, even after the overnight fix",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1018,B1798,,CARD,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1019,B1875,,NETBANKING,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1024,B1523,,CARD,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1026,B1120,,CARD,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1033,B1012,,CARD,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1060,B1572,,NETBANKING,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1069,B1578,,UPI,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1071,B1174,,NETBANKING,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1077,B1501,,UPI,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1173,B1722,,CARD,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1184,B1019,,UPI,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1186,B1132,,UPI,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1207,B1159,,CARD,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1213,B1725,,NETBANKING,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1220,B1805,,CARD,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1244,B1844,,CARD,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1249,B1816,,NETBANKING,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1256,B1124,,CARD,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1269,B1660,,CARD,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1273,B1341,,NETBANKING,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1283,B1118,,NETBANKING,,,,,,,,,,,,,,,,,,
